data,label
r 157 i 159 n 188 t 312 Shift 330 ( 124 m 217 a 64 t,2
i 159 n 188 t 312 Shift 330 ( 124 m 217 a 64 t 311 h,2
n 188 t 312 Shift 330 ( 124 m 217 a 64 t 311 h 154 .,2
t 312 Shift 330 ( 124 m 217 a 64 t 311 h 154 . 255 z,2
Shift 330 ( 124 m 217 a 64 t 311 h 154 . 255 z 171 i,2
( 124 m 217 a 64 t 311 h 154 . 255 z 171 i 355 n,2
m 217 a 64 t 311 h 154 . 255 z 171 i 355 n 181 Backspace,2
a 64 t 311 h 154 . 255 z 171 i 355 n 181 Backspace 186 Backspace,2
t 311 h 154 . 255 z 171 i 355 n 181 Backspace 186 Backspace 219 s,2
h 154 . 255 z 171 i 355 n 181 Backspace 186 Backspace 219 s 180 Backspace,2
. 255 z 171 i 355 n 181 Backspace 186 Backspace 219 s 180 Backspace 142 Backspace,2
z 171 i 355 n 181 Backspace 186 Backspace 219 s 180 Backspace 142 Backspace 176 s,2
i 355 n 181 Backspace 186 Backspace 219 s 180 Backspace 142 Backspace 176 s 172 i,2
n 181 Backspace 186 Backspace 219 s 180 Backspace 142 Backspace 176 s 172 i 300 n,2
Backspace 186 Backspace 219 s 180 Backspace 142 Backspace 176 s 172 i 300 n 222 Shift,2
Backspace 219 s 180 Backspace 142 Backspace 176 s 172 i 300 n 222 Shift 285 (,2
s 180 Backspace 142 Backspace 176 s 172 i 300 n 222 Shift 285 ( 44 m,2
Backspace 142 Backspace 176 s 172 i 300 n 222 Shift 285 ( 44 m 221 a,2
Backspace 176 s 172 i 300 n 222 Shift 285 ( 44 m 221 a 80 t,2
s 172 i 300 n 222 Shift 285 ( 44 m 221 a 80 t 265 h,2
i 300 n 222 Shift 285 ( 44 m 221 a 80 t 265 h 445 .,2
n 222 Shift 285 ( 44 m 221 a 80 t 265 h 445 . 212 p,2
Shift 285 ( 44 m 221 a 80 t 265 h 445 . 212 p 294 i,2
( 44 m 221 a 80 t 265 h 445 . 212 p 294 i 539 /,2
m 221 a 80 t 265 h 445 . 212 p 294 i 539 / 315 2,2
a 80 t 265 h 445 . 212 p 294 i 539 / 315 2 249 Shift,2
t 265 h 445 . 212 p 294 i 539 / 315 2 249 Shift 175 ),2
h 445 . 212 p 294 i 539 / 315 2 249 Shift 175 ) 380 ),2
. 212 p 294 i 539 / 315 2 249 Shift 175 ) 380 ) 698 Enter,2
p 294 i 539 / 315 2 249 Shift 175 ) 380 ) 698 Enter 109 p,2
i 539 / 315 2 249 Shift 175 ) 380 ) 698 Enter 109 p 96 r,2
/ 315 2 249 Shift 175 ) 380 ) 698 Enter 109 p 96 r 153 i,2
2 249 Shift 175 ) 380 ) 698 Enter 109 p 96 r 153 i 92 n,2
Shift 175 ) 380 ) 698 Enter 109 p 96 r 153 i 92 n 187 t,2
) 380 ) 698 Enter 109 p 96 r 153 i 92 n 187 t 217 Shift,2
) 698 Enter 109 p 96 r 153 i 92 n 187 t 217 Shift 875 (,2
Enter 109 p 96 r 153 i 92 n 187 t 217 Shift 875 ( 244 [,2
p 96 r 153 i 92 n 187 t 217 Shift 875 ( 244 [ 88 Shift,2
"r 153 i 92 n 187 t 217 Shift 875 ( 244 [ 88 Shift 618 """,2
"i 92 n 187 t 217 Shift 875 ( 244 [ 88 Shift 618 "" 214 o",2
